claim_id,label,oc_source_id,layer_index,margin_evidence_only,margin_after_anchor,margin_final_prefix,margin_shift
5bdb71007a2f5b2c33e4bd71::0,clean,,63,-0.592046137440468,-0.53010436010615,-0.8294231825348707,-0.2373770450944027
c6e32087897377afc707821c::0,clean,,63,-0.4863329141751671,-0.3111973237677649,-0.4118578860908704,0.0744750280842967
ab28063625f4ba14b3379479::0,clean,,63,-0.3012482235682083,-0.1302025035850937,-0.4421328104182361,-0.1408845868500278
f5f185ff5f7901dc7c4dd711::0,clean,,63,-0.4369467571988782,-0.531131701459377,-0.570415018677362,-0.1334682614784837
dab078420665e61aa6883a1d::4,clean,,63,0.0409388376606327,0.0547252262717279,0.0188157184196623,-0.0221231192409704
3842f39935a34d58b55be97d::2,clean,,63,0.0281213229522169,0.0634319473201288,-0.0011176476131081,-0.029238970565325
e449057b794c66a951ffc20d::1,clean,,63,0.024008347769739,0.0554337586823392,-0.0112533316634578,-0.0352616794331968
2a882b413da76b5d3b4d828a::0,clean,,63,-0.5359445737763584,-0.4550898309193647,-0.6859747248641663,-0.1500301510878079
42d490e9dcc8cd200649d0ff::1,clean,,63,0.1140784718256178,0.2150106507246493,0.2132868442505379,0.0992083724249201
1495b796ffe9d906c0df1b75::0,clean,,63,-0.6449707622918331,-0.6367893199347476,-0.3510610576641801,0.293909704627653
ea8b16320ebc9e5ee3d92c14::0,clean,,63,0.1140784718256178,0.2150106507246493,0.2132868442505379,0.0992083724249201
5edb9312f6f7f742fcdce8fc::0,clean,,63,-0.8432490540353608,-0.6779997011191631,-0.5084116303951274,0.3348374236402334
6e19826cc8478fa8a97d1dee::0,clean,,63,-0.3042972170376177,0.0241339231820038,-0.5718852713467527,-0.2675880543091349
e2b25103644606a2debc3586::1,clean,,63,0.0240326841910842,0.0642001945210539,-0.0589735314848423,-0.0830062156759266
7535579b90cfcb61fed1c380::0,clean,,63,-0.4147580083085394,-0.1307126160897373,-0.5577468849973692,-0.1429888766888298
6236365bb1b1dab256878dbe::0,clean,,63,-0.6390215639524665,-0.650134750720716,-0.5733564804984344,0.0656650834540321
ec4e31f512d6319b08a78d92::1,clean,,63,0.0328880325489938,0.0321626826707525,0.1604859791014748,0.127597946552481
2b27156e1bc6e928eb6b916e::3,clean,,63,0.0236588992337797,0.0660322031020242,0.1256290317145237,0.1019701324807439
be83182a8a89eceb013c4764::2,clean,,63,0.0771443702979965,0.1600730622731452,0.0947915816964966,0.0176472113985
edaebbb4a2886364c2f5455c::0,clean,,63,-0.2059361851693041,-0.0249078344879585,-0.5551755670685974,-0.3492393818992932
605dc49bacfb0b462cf31880::1,clean,,63,0.1318365993458062,0.1669026323033886,0.2134195056994801,0.0815829063536738
65b2855ba05f13d02f85adcd::1,clean,,63,0.0352993346378642,0.0578834135332051,-0.1429245521586805,-0.1782238867965447
90029829a3c76198a7de717b::0,clean,,63,-0.5618652495666765,-0.5929537916826941,-0.5864778408438862,-0.0246125912772097
40c2eb3691b1c2483780d090::0,clean,,63,-0.8081344472418223,-0.5584157490165707,-0.6493787284472545,0.1587557187945677
0c93a24758fe815a4f4bf747::0,clean,,63,-0.4101266799253747,-0.2862352619248789,-0.4544630026082047,-0.04433632268283
72f7cf565eac6853d4a5f4bc::1,clean,,63,0.0291315182408423,0.0676998971213743,-0.0614349724569898,-0.0905664906978321
e219db6bec1a6b0c74699c00::0,clean,,63,-0.627993184820384,-0.5723375802308789,-0.7392543935392693,-0.1112612087188852
1f7e6a11b09b66d4eb7904e1::0,clean,,63,-0.6565975741515273,-0.4695160074449778,-0.4174963781684717,0.2391011959830556
bd164a06951b24d9fbb32e90::0,clean,,63,-0.2938072324632115,-0.0946612180301085,-0.3050083380356547,-0.0112011055724432
1e3b44203311b415f4712cc6::1,clean,,63,-0.0872417685223905,-0.1419834083836203,-0.4743674175904991,-0.3871256490681086
ec946af2d91d7d53d35312e6::1,clean,,63,-0.0217246951677311,-0.0410324358417674,-0.1499854926877572,-0.1282607975200261
fa4dfaaf2645d182bd7337d2::1,clean,,63,0.0947544353315621,0.0506573342654489,0.1358711565956648,0.0411167212641027
ffbd9d197177ca7b317f66cb::0,clean,,63,-0.7465322370827105,-0.7659743413943183,-0.5847763465011361,0.1617558905815744
4d64d12fe14c8c3ed4e3f73f::0,clean,,63,-0.7275712391349314,-0.554588895009026,-0.5015923847478273,0.225978854387104
a3fbabc4125bd38ac2aed4db::1,clean,,63,0.1349012078226041,0.1433589077501703,0.1228820400266488,-0.0120191677959553
6277e9a8851e3c1a4ad9cd6e::0,clean,,63,-0.3836181244257793,-0.2121631210379646,-0.344962256567367,0.0386558678584122
1108d7271243b64d3250ee9e::2,clean,,63,0.0427179628538673,0.0652358396495518,0.1284440192065104,0.0857260563526431
f6ad015f8e12733510bfd83d::0,clean,,63,-0.994942906323211,-0.794066844522799,-0.8017303292914387,0.1932125770317723
d4efc7e55f28c5602d3467ae::2,clean,,63,0.0247578861506893,0.0628403098207934,0.1801668165899495,0.1554089304392602
3dcaebddfb2987ddb1dc6ae7::1,clean,,63,0.1964752591146789,0.2388393264126126,0.4620446313351893,0.2655693722205103
741e6bfd3ada80120eff4191::0,clean,,63,-0.4645387618249073,-0.2642624147432474,-0.5151648093417285,-0.0506260475168212
88ef45f61812b1ec67818a35::1,clean,,63,0.1369988391182914,0.1033912469188739,0.0359909328987333,-0.101007906219558
168c04ce1956c158d1651a93::2,clean,,63,0.0231396869998903,0.0550557027066289,0.0342472787978925,0.0111075917980022
a39e1668093aab21fc2f126e::0,clean,,63,-0.7283749390881099,-0.760441248661865,-0.6246313875975551,0.1037435514905548
